Variavel,Importancia
VAR_1,0.13561611
VAR_4,0.08598852
VAR_20,0.052479006
VAR_3,0.05029254
VAR_6,0.04646967
VAR_44,0.04234946
VAR_9,0.04109274
VAR_25,0.035954807
VAR_57,0.034303837
VAR_76,0.029102294
VAR_17,0.028365139
VAR_2,0.02648698
VAR_65,0.024797805
VAR_53,0.023083141
VAR_72,0.021221226
VAR_59,0.02101853
VAR_54,0.020794613
VAR_45,0.020776877
VAR_11,0.019984312
VAR_15,0.019861724
VAR_38,0.019821664
VAR_22,0.019690203
VAR_35,0.019044973
VAR_8,0.018742807
VAR_30,0.018419415
VAR_33,0.018149257
VAR_13,0.016356247
VAR_5,0.016256532
VAR_52,0.016241116
VAR_24,0.016006868
VAR_34,0.015648093
VAR_7,0.014423637
VAR_32,0.011159912
VAR_64,0.0
